央视,#genre#
CCTV-1,http://go.bkpcp.top/mg/cctv1
CCTV-2,http://go.bkpcp.top/mg/cctv2
CCTV-3,http://go.bkpcp.top/mg/cctv3
CCTV-4,http://go.bkpcp.top/mg/cctv4
CCTV-5,http://go.bkpcp.top/mg/cctv5
CCTV-5+,http://go.bkpcp.top/mg/cctv5p
CCTV-6,http://go.bkpcp.top/mg/cctv6
CCTV-7,http://go.bkpcp.top/mg/cctv7
CCTV-8,http://go.bkpcp.top/mg/cctv8
CCTV-9,http://go.bkpcp.top/mg/cctv9
CCTV-10,http://go.bkpcp.top/mg/cctv10
CCTV-11,http://go.bkpcp.top/mg/cctv11
CCTV-12,http://go.bkpcp.top/mg/cctv12
CCTV-13,http://go.bkpcp.top/mg/cctv13
CCTV-14,http://go.bkpcp.top/mg/cctv14
CCTV-15,http://go.bkpcp.top/mg/cctv15
CCTV-16,http://go.bkpcp.top/mg/cctv16
CCTV-17,http://go.bkpcp.top/mg/cctv17

卫视,#genre#
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
江苏卫视,http://go.bkpcp.top/mg/jsws
浙江卫视,http://go.bkpcp.top/mg/zjws
重庆卫视,http://go.bkpcp.top/mg/cqws
吉林卫视,http://go.bkpcp.top/mg/jlws
辽宁卫视,http://go.bkpcp.top/mg/lnws
甘肃卫视,http://go.bkpcp.top/mg/gsws
青海卫视,http://go.bkpcp.top/mg/qhws
陕西卫视,http://go.bkpcp.top/mg/sxws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
湖北卫视,http://go.bkpcp.top/mg/hubws
湖南卫视,http://go.bkpcp.top/mg/hunws
江西卫视,http://go.bkpcp.top/mg/jxws
东南卫视,http://go.bkpcp.top/mg/dnws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视,http://go.bkpcp.top/mg/szws
广西卫视,http://go.bkpcp.top/mg/gxws
云南卫视,http://go.bkpcp.top/mg/ynws
贵州卫视,http://go.bkpcp.top/mg/gzws
宁夏卫视,http://go.bkpcp.top/mg/nxws
新疆卫视,http://go.bkpcp.top/mg/xjws
西藏卫视,http://go.bkpcp.top/mg/xzws
海南卫视,http://go.bkpcp.top/mg/hinws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江卫视,http://go.bkpcp.top/mg/hljws

影视,#genre#
成龙,http://yezilive.jxpan.vip:35455/huya/11342386
王晶,http://yezilive.jxpan.vip:35455/huya/11602058
沈腾,http://yezilive.jxpan.vip:35455/huya/11601968
黄渤,http://yezilive.jxpan.vip:35455/huya/11352876
徐克,http://yezilive.jxpan.vip:35455/huya/11352909
强森,http://yezilive.jxpan.vip:35455/huya/21059581
贺岁,http://yezilive.jxpan.vip:35455/huya/11601971
喜剧,http://yezilive.jxpan.vip:35455/huya/11352877
港片,http://yezilive.jxpan.vip:35455/huya/11602043
唐探,http://yezilive.jxpan.vip:35455/huya/20969137
亮剑,http://yezilive.jxpan.vip:35455/huya/30080238
繁花,http://yezilive.jxpan.vip:35455/huya/21059580
征服,http://yezilive.jxpan.vip:35455/huya/11601970
渗透,http://yezilive.jxpan.vip:35455/huya/30080244
风筝,http://yezilive.jxpan.vip:35455/huya/30080225
功夫片,http://yezilive.jxpan.vip:35455/huya/11352941
古惑仔,http://yezilive.jxpan.vip:35455/huya/11336719
周星驰,http://yezilive.jxpan.vip:35455/huya/11342412
周润发,http://yezilive.jxpan.vip:35455/huya/11342387
林正英,http://yezilive.jxpan.vip:35455/huya/11342421
李连杰,http://yezilive.jxpan.vip:35455/huya/11342390
古天乐,http://yezilive.jxpan.vip:35455/huya/29982675
洪金宝,http://yezilive.jxpan.vip:35455/huya/11279251
梁家辉,http://yezilive.jxpan.vip:35455/huya/11342429
刘德华,http://yezilive.jxpan.vip:35455/huya/11342424
斯坦森,http://yezilive.jxpan.vip:35455/huya/21059588
甄子丹,http://yezilive.jxpan.vip:35455/huya/11352935
洗冤录,http://yezilive.jxpan.vip:35455/huya/29465851
老农民,http://yezilive.jxpan.vip:35455/huya/29580971
白鹿原,http://yezilive.jxpan.vip:35455/huya/30311504
水浒传,http://yezilive.jxpan.vip:35455/huya/26355860
花千骨,http://yezilive.jxpan.vip:35455/huya/26355839
庆余年,http://yezilive.jxpan.vip:35455/huya/11352960
如懿传,http://yezilive.jxpan.vip:35455/huya/29465868
芈月传,http://yezilive.jxpan.vip:35455/huya/30311525
甄嬛传,http://yezilive.jxpan.vip:35455/huya/26355840
都挺好,http://yezilive.jxpan.vip:35455/huya/21059594
大秦赋,http://yezilive.jxpan.vip:35455/huya/23903130
西游记,http://yezilive.jxpan.vip:35455/huya/26355861
芈月传,http://yezilive.jxpan.vip:35455/huya/11352975
好先生,http://yezilive.jxpan.vip:35455/huya/11602088
小李飞刀,http://yezilive.jxpan.vip:35455/huya/11342417
龙门镖局,http://yezilive.jxpan.vip:35455/huya/11352874
延禧攻略,http://yezilive.jxpan.vip:35455/huya/26355864
康熙王朝,http://yezilive.jxpan.vip:35455/huya/11352940
士兵突击,http://yezilive.jxpan.vip:35455/huya/11342430
扫黑风暴,http://yezilive.jxpan.vip:35455/huya/11342404
三国演义,http://yezilive.jxpan.vip:35455/huya/11602081
雪山飞狐,http://yezilive.jxpan.vip:35455/huya/23734176
隋唐演义,http://yezilive.jxpan.vip:35455/huya/30080219
太极宗师,http://yezilive.jxpan.vip:35455/huya/11342438
外科风云,http://yezilive.jxpan.vip:35455/huya/29982672
重案六组,http://yezilive.jxpan.vip:35455/huya/23482266
乡村爱情,http://yezilive.jxpan.vip:35455/huya/30080255
大秦帝国,http://yezilive.jxpan.vip:35455/huya/11602077
李卫当官,http://yezilive.jxpan.vip:35455/huya/26355788
勇敢的心,http://yezilive.jxpan.vip:35455/huya/11602037
特战荣耀,http://yezilive.jxpan.vip:35455/huya/30080252
陈翔六点半,http://yezilive.jxpan.vip:35455/huya/11274154
乌龙闯情关,http://yezilive.jxpan.vip:35455/huya/26355767
倚天屠龙记,http://yezilive.jxpan.vip:35455/huya/11342403
神医喜来乐,http://yezilive.jxpan.vip:35455/huya/11601978
三少爷的剑,http://yezilive.jxpan.vip:35455/huya/30080175
我爱男保姆,http://yezilive.jxpan.vip:35455/huya/29581262
民兵葛二蛋,http://yezilive.jxpan.vip:35455/huya/11602072
小鱼儿与花无缺,http://yezilive.jxpan.vip:35455/huya/29465867
铁齿铜牙纪晓岚,http://yezilive.jxpan.vip:35455/huya/11342396
康熙微服私访记,http://yezilive.jxpan.vip:35455/huya/11342418
我的团长我的团,http://yezilive.jxpan.vip:35455/huya/11352910
特种兵之火凤凰,http://yezilive.jxpan.vip:35455/huya/29982636
